Country,Countrycode,Year,RegionA,RegionB,Cwbattledeaths_PRIO_UCDP,CWintensity_PRIO_UCDP,CWtype_PRIO_UCDP,OnesidedStatec_UCDP,OnesidedNonstate_UCDP,Ruleoflaw_WGI,MileduFromUS_USAID,Missing_RuleofLaw,Missing_MilitaryAid
Afghanistan,AFG,2000,SAR,SAR,6747.0,2.0,3.0,107.0,0.0,-2.02753,0.0,0,0
Afghanistan,AFG,2001,SAR,SAR,2877.0,2.0,4.0,142.0,200.0,0.0,0.0,1,0
Afghanistan,AFG,2002,SAR,SAR,0.0,0.0,0.0,0.0,0.0,-1.7416,0.0,0,0
Afghanistan,AFG,2003,SAR,SAR,1200.0,2.0,4.0,0.0,0.0,-1.76277,0.4,0,0
Afghanistan,AFG,2004,SAR,SAR,621.0,2.0,4.0,0.0,52.0,-1.81457,0.4,0,0
Afghanistan,AFG,2005,SAR,SAR,1268.0,2.0,4.0,0.0,98.0,-1.89971,1.0,0,0
Afghanistan,AFG,2006,SAR,SAR,3154.0,2.0,4.0,0.0,107.0,-2.06536,1.0,0,0
Afghanistan,AFG,2007,SAR,SAR,6233.0,2.0,4.0,0.0,53.0,-2.01861,1.2,0,0
Afghanistan,AFG,2008,SAR,SAR,4489.0,2.0,4.0,0.0,0.0,-2.01176,0.0,0,1
Albania,ALB,2000,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-1.08813,0.8,0,0
Albania,ALB,2001,ECA,ECA,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1,0
Albania,ALB,2002,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.944377,1.0,0,0
Albania,ALB,2003,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-1.02493,1.1,0,0
Albania,ALB,2004,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.877478,1.3,0,0
Albania,ALB,2005,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.795833,1.2,0,0
Albania,ALB,2006,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.729008,1.1,0,0
Albania,ALB,2007,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.687787,1.0,0,0
Albania,ALB,2008,ECA,ECA,0.0,0.0,0.0,0.0,0.0,-0.601746,0.0,0,1
Algeria,DZA,2000,MNA,MNA,1705.0,2.0,3.0,0.0,222.0,-1.08726,0.1,0,0
Algeria,DZA,2001,MNA,MNA,1150.0,2.0,3.0,0.0,32.0,0.0,0.1,1,0
Algeria,DZA,2002,MNA,MNA,304.0,1.0,3.0,0.0,220.0,-0.716052,0.1,0,0
Algeria,DZA,2003,MNA,MNA,198.0,1.0,3.0,0.0,0.0,-0.674479,0.7,0,0
Algeria,DZA,2004,MNA,MNA,500.0,1.0,4.0,0.0,65.0,-0.65511,0.8,0,0
Algeria,DZA,2005,MNA,MNA,490.0,1.0,3.0,0.0,0.0,-0.698174,1.0,0,0
Algeria,DZA,2006,MNA,MNA,191.0,1.0,3.0,0.0,37.0,-0.614422,0.8,0,0
Algeria,DZA,2007,MNA,MNA,467.0,1.0,3.0,0.0,0.0,-0.677235,0.8,0,0
Algeria,DZA,2008,MNA,MNA,339.0,1.0,3.0,0.0,0.0,-0.703323,0.0,0,1
American Samoa,ASM,2000,EAP,EAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
American Samoa,ASM,2001,EAP,EAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
American Samoa,ASM,2002,EAP,EAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
American Samoa,ASM,2003,EAP,EAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
